Gene,Slope,P-value,FDR
RNU6-291P,-0.0189131925861258,0.0855978482685311,
RPL39P6,0.0040862829984457,0.8540866160303999,
UBIAD1,-0.0041460913464374,0.9088863227973306,
UBE2V2P3,-0.0496466525707055,0.337904872435531,
MTCYBP45,-0.0028288833695372,0.8491842155094356,
DISP3,-0.1862985300867927,0.0935914213068537,
LINC01647,0.0093902842256072,0.835636521411627,
FBXO2,-0.1685380049422433,0.0920792113779663,
FBXO44,-0.1335980274241854,0.0504571089101253,
FBXO6,0.0649849098534716,0.1649354741304439,
MAD2L2,-0.0229481396135447,0.6061602436717135,
DRAXIN,-0.0729725035671097,0.4585232120436915,
AGTRAP,0.1761497379000625,0.0474822568128585,
C1orf167,0.2023370716348102,0.0360835347679124,
RP11-56N19.5,0.0622692393982257,0.0349652062548351,
MTHFR,-0.0827035320669317,0.0093599664146616,
CLCN6,-0.1046046017082253,0.0196093702753634,
NPPA-AS1,-0.1012012154507243,0.1583001219914878,
NPPA,-0.1582665643626047,0.1849470966614474,
NPPB,-0.0357432386949379,0.7944329305332914,
RP5-934G17.6,-0.0249451547338401,0.676757842698668,
RNU5E-1,0.0517802114566342,0.463322940508732,
RNU5E-4P,0.0497662120835801,0.2215664208385677,
KIAA2013,0.0673089167611209,0.3782984016579221,
PLOD1,-0.0067375775850126,0.9031803388678874,
MFN2,0.0650337469374355,0.2321970968005169,
RP5-1077B9.5,0.0031109627612043,0.7899460647298777,
MIIP,0.0037056947614544,0.9417104844822486,
MIR6729,0.0052228910719633,0.7391007809523192,
RN7SL649P,0.0411346779681056,0.0838604484795612,
TNFRSF8,-0.1281223579593386,0.0456614218912355,
RNU6-777P,0.004168996492558,0.5021417674403412,
RPL23AP89,-0.0572282428730413,0.0354763967824787,
MIR7846,-0.0001321981708737,0.9883681963719751,
TNFRSF1B,-0.172531058661761,0.001091924641505,
MIR4632,-0.0543800840616477,0.0335942943128138,
RPL10P17,0.0656660550985055,0.3487567734362987,
SNORA70,-0.0370194124922646,0.3136435825695297,
VPS13D,0.0571180491142971,0.057922064701529,
SNORA59A,0.0766621125169067,0.3438639949583364,
RP5-888M10.2,0.0419048839128712,0.450887321389343,
DHRS3,-0.2402585191564451,0.0199429971059482,
RNU6ATAC18P,-0.016150784878763,0.692060766767682,
MIR6730,-0.0221370934901597,0.0440487637426368,
RP11-474O21.5,0.1103814956011865,0.1590242489789115,
AADACL4,-0.0137035003096121,0.6915624246854091,
RP11-474O21.2,-0.0235988666648226,0.1294549318065889,
AADACL3,0.0142228728143964,0.8095517650153154,
C1orf158,-0.0721345551559606,0.2585587813624254,
PRAMEF12,0.0119718681348481,0.633906558351303,
PRAMEF1,0.0226021954031401,0.3484215709917632,
LINC01784,-0.0197880489320471,0.1363720178077604,
PRAMEF11,0.0157444250906217,0.4733295894633972,
PRAMEF30P,-0.0051017347347271,0.8192689324266674,
HNRNPCL1,0.0463269277010613,0.5515249693486282,
PRAMEF2,-0.005759188386384,0.8141673807781646,
PRAMEF4,-0.0103132431179621,0.573681083129848,
PRAMEF10,-0.0004757060261592,0.9829300142471836,
PRAMEF7,-0.0405627483660258,0.036270069058067,
RNU6-1072P,-0.0023809207182011,0.4768112374906381,
PRAMEF29P,-0.0086391308041028,0.4198923254342535,
PRAMEF6,-0.0019403232777301,0.9062097016780586,
PRAMEF28P,0.0218010463177429,0.0482205731334735,
PRAMEF27,-0.0043734201216196,0.7664489555386789,
HNRNPCL3,-0.1005839525904074,0.0440661997854418,
PRAMEF25,-0.0067913698909293,0.5472184991476365,
PRAMEF34P,-0.0284955928144854,0.1836457096869184,
PRAMEF35P,0.0012632677280338,0.9233449234286488,
HNRNPCL2,-0.1407296240880403,0.0119550152157245,
PRAMEF36P,0.0032769720507527,0.8200751536986375,
RP13-221M14.2,0.0023463314684699,0.1603314696236163,
PRAMEF26,0.0103289527418532,0.1874125812505687,
HNRNPCL4,0.0174991418239504,0.6754126159750147,
PRAMEF9,-0.0032746343434673,0.8127838742967499,
PRAMEF13,-0.0075311753577737,0.6712867144849675,
PRAMEF18,-0.0290059397341626,0.1700528806210466,
PRAMEF31P,-0.0227161214936807,0.2838431893173702,
